nombre;nif;email;telefono;direccion;provincia
ADRISA SIETE, S.L.;;emedina@adrisa.es;003817240;ADOLFO MARSILLACH, 6 - LOCAL 15, 01970;ARGANDA DEL REY, ESPAÑA
ADSK IRELAND LTD;;;000000000;WINDMILL LANE, 02846;DUBLIN, IRLANDA
AEROCON, S.L.;;;000545055;CTRA. SERRANILLO, KM. 13,400, 01370;YELES, ESPAÑA
AGHBALOU, S.L.;;;665772533;PIO BAROJA, 3 B, 01994;ESQUIVIAS, ESPAÑA
AGOFER CONSTRUCCIONES, S.L.;;info@agofer.es;005179990;ANTONIO LOPEZ, 00975;MADRID, ESPAÑA
AGOFER, S.L.;;;915179990;ANTONIO LOPEZ, 00922;MADRID, ESPAÑA
AGRODON PROMOCIONES, S.L.;;agrodonpro@terra.es;006162602;DE SACEDON, 4, 1ª PLANTA, 02135;VILLAVICIOSA DE ODON, ESPAÑA
AGRUCONSA, S.A.;;;959-371207;POL. EL ALGARROBITO, PLA. 3, 00438;MOGUER, ESPAÑA
AGRUPACION EMPRESARIAL GARCIA ARISCO, S.L.;;;666506999;YEGROS, 23, 02780;MORA, ESPAÑA
AGRUPACION EMPRESARIAL TABANERA, S.A.;;info@tabanera.com;000441818;HONTORIA, S/Nº- POL. INDUSTRIAL, 01207;HONTORIA, ESPAÑA
AGUAYO E HIJOS, C.B.;;;000000000;FRESNO DE LA VEGA, 5, 01082;MADRID, ESPAÑA
AGUEDA MANCHADO RODRIGUEZ;;aguemr@gmail.com;000000000;PLAZA DEL GREEN, 2, 4º B, 02965;LASARTE-ORIA, ESPAÑA
AGUILO PUJOL, S.A.;;;000202350;CTRA. DE TARRAGONA, KM. 90, 01570;LERIDA, ESPAÑA
AGUSTI ROE CLUA;;;000718093;MARE DE MONTSERRAT, 01229;SANTA BARBARA, ESPAÑA
AGUSTIN CASTREJON MONTERO;;;000000000;RONDA DE MADRID, 33, 00694;CADALSO DE LOS VIDRIOS, ESPAÑA
AGUSTIN CASTREJON MONTERO E HIJOS, S.L.;;;918641382;CTRA. DE CENICIENTOS, KM. 0,300, 00801;CADALSO DE LOS VIDRIOS, ESPAÑA
AGUSTIN SANCHEZ GOMEZ;;;924-630361;CASTILLO, 91, 00126;TALARRUBIAS, ESPAÑA
AGUSTIN TEJEDA, S.A.;;;000000000;CTRA. BADAJOZ, S/Nº, 00119;SAN VICENTE DE ALCANTARA, ESPAÑA
AHIJADO Y VALVERDE, S.L.;;;000000000;CTRA. DE LAS MINAS, 3, 00648;POZUELO DE ALARCON, ESPAÑA
AICRON ESPACIOS URBANOS, S.A.;;;000000000;GRAN VIA, 31, LOCAL, 01819;MAJADAHONDA, ESPAÑA
AISLAMIENTO TERMICO DE FACHADAS, S.L.;;sopelana@mac.com;;IND. AURRERA FASE 2 PABELLON 4, 03042;TRAPAGARAN, ESPAÑA
AISLAMIENTOS UNIFICADOS, S.L.;;slau@slau.es;006900306;VILLAVICIOSA-PINTO, KM.15. P.I. EL PALOMO, 01661;FUENLABRADA, ESPAÑA
AITEMIN CENTRO TECNOLOGICO;;aitemin@aitemin.es;004424955;MARGARITA SALAS, 14 PQUE. LEGANES TEC, 02064;LEGANES, ESPAÑA
AIZMAN KOS, S.L.;;;943148124;BARRIO IRAETA, S/N, 00437;IRAETA-CESTONA, ESPAÑA
AJENJO ARGUMANEZ, S.L.;;;000000000;YESARES, 21, 01347;QUINTANAR DE LA ORDEN, ESPAÑA
ALAGUERO MAT. DE CONSTRUCCION, S.L.U.;;;000690196;AVDA. CARLOS LATORRE, 23, 02807;TORO, ESPAÑA
ALAMON, S.L.;;;000000000;JOAQUIN LORENZO, 54, 00706;MADRID, ESPAÑA
ALARIA EDYCO, S.L.;;amvilla@alaria.es;000540491;HOYOS, S/Nº, 00468;VILLARENTE, ESPAÑA
ALBACERAMICA, S.L.;;;902190679;CTRA. CASAS DE VES, KM. 1 (PLANTA  ASFALTO), 00028;ALBOREA, ESPAÑA
ALBAIDA INFRAESTRUCTURAS, S.A.;;albaida@grupoalbaida.es;000280330;ALCAZAR, 7 - 1º B, 02718;ALMERIA, ESPAÑA
ALBALUZ DESARROLLOS URBANOS, S.A.;;;000000000;ALMIRANTE CADARSO, 15, 3º IZQDA., 03104;VALENCIA, ESPAÑA
ALBALUZ DESARROLLOS URBANOS, S.L.;;j.tercero@albaluz.es;000000000;ALMIRANTE CADARSO, 15, 3º IZQDA., 02618;VALENCIA, ESPAÑA
ALBAMORE DESARROLLOS URBANOS, S.L.;;;003518663;ALMIRANTE CADARSO, 15 ESC. IZQ. 3ª PTA., 03077;VALENCIA, ESPAÑA
ALBAÑILERIA JOSEAN, S.L.;;;000000000;POL. OLIBE, E  TRASERA BAJO 13, 02679;RENTERIA, ESPAÑA
ALBAÑILERIA MOLINA, S.L.;;info.albmolina@gmail.com;003176997;CTRA. DE AREITIO, Nº 6, 01818;ERMUA, ESPAÑA
ALBERTO ADAN, S.A.;;;006773606;SOLANA ESQUINA  HIERRO, 01038;TORREJON DE ARDOZ, ESPAÑA
ALBERTO ARMARIO JIMENEZ;;;008149333;ARRAPERAL, 00969;GRIÑON, ESPAÑA
ALBERTO GUTIERREZ GALLARDO;;;675907554;HERRADURA, 32, 01376;ILLESCAS, ESPAÑA
ALBERTO MANUEL RODRIGUEZ PASERO;;;686891805;MANUEL MARTINEZ, 2, 02214;LAS VENTAS DE RETAMOSA, ESPAÑA
ALBERTO MARIN BLANCO;;;000000000;VICALVARO A COSLADA, KM. 5,400, 03050;MADRID, NORUEGA
ALBERTO NOVALES BUCOS;;;91-4741700;SAN ANASTASIO, 4, 00764;MADRID, ESPAÑA
ALCARRÁS COMERCIAL PER A LA CONSTRUCCIÓ, S.L.;;;000791691;IND. TOSSALET ROIG, PARC. 10-11, 03101;ALCARRÁS, ESPAÑA
ALCAZAR DELGADO, S.L.;;;926-840046;VICTORIA, S/Nº, 00307;POZUELO DE CALATRAVA, ESPAÑA
ALCOMACON, S.A.;;;968791293;CTRA. ALMANSA, KM. 1, 01169;YECLA, ESPAÑA
ALCONSA, S.A.;;;008443415;RIO, 10, 01599;MIRAFLORES, ESPAÑA
ALCUDIA SERVICIOS Y OBRAS, S.L.;;;006613502;VICENTE ANTON SELVA, 23, 02561;ELCHE, ESPAÑA
ALDARA CONSTRUCCIONES E INFRAESTRUCTURAS,S.L.;;administracion@aldara-ci.es;000000000;ALCALA, 492, 02481;MADRID, ESPAÑA
ALDESA CONSTRUCCIONES, S.A.;;apascual@aldesaconstrucciones.es;003819220;BAHIA DE POLLENSA, 13, 01019;MADRID, ESPAÑA
ALEA GLOBAL, S.A.;;vjimenez@aleaglobal.es;005638071;AZALEA, 1 EDIF. D-MINIPARC. 1, 01677;LA MORALEJA-ALCOBENDAS, ESPAÑA
ALEJANDRO CABAÑAS DIAZ;;;000000000;RIO TAJO,, 02633;TOLEDO, ESPAÑA
ALEJANDRO MOREJUDO FERNANDEZ;;;000000000;SANTA TERESA DE JESUS, 01690;PUERTOLLANO, ESPAÑA
ALEJANDRO RODRIGUEZ CERDEÑO;;;646 382093;VIRGEN DEL CARMEN, 4, 02849;YUNCLILLOS, ESPAÑA
ALERBIFE, S.L.L.;;lsancho@grupofranca.es;001241104;JAUME ROIG, 66, PUERTA 12, 02626;ALCACER, ESPAÑA
ALEXA, S.COOP.;;;000000000;DIPUTACION GENERAL, 33, 01957;MEDELLIN, ESPAÑA
ALEXANDRU SIMA;;;000000000;JAYENA, 9  6º D, 02271;MADRID, ESPAÑA
ALFACAM CAPITAL, S.L.;;;000000000;ALDEA DEL FRESNO, 19, 02850;ALCORCON, ESPAÑA
ALFARERIA ROSA, S.L.;;;000000000;CARRETERA, 9, 02937;PERERUELA, ESPAÑA
ALFEBA, S.A.;;;008972017;DE PEGUERINOS, S/Nº, 01617;LAS NAVAS DEL MARQUES, ESPAÑA
ALFONSA GARCIA-FOGEDA NUÑEZ;;;000000000;MARQUES DE LOZOYO, 12  - 12º  F, 01942;MADRID, ESPAÑA
ALFONSO CALERO MUÑO;;;000000000;ALONSO DE SOTOMAYOR, 47, 00118;HERRERA DEL DUQUE, ESPAÑA
ALFONSO GONZALEZ, S.L.;;;000233094;ESPOZ Y MINA, 01807;ALBACETE, ESPAÑA
ALFONSO JIMENEZ E HIJOS, S.L.;;raque.ortiz@codesur.es;968780808;RONDA NORTE, 23, 01130;MURCIA, ESPAÑA
ALFONSO RAMOS VAZQUEZ;;;000000000;JUAN DE AUSTRIA, 22 - 2, 02138;CUBAS DE LA SAGRA, ESPAÑA
ALFONSO RUIZ CONEJO;;;000000000;PIÑON, S/N, 02790;JEREZ DE LA FRONTERA, ESPAÑA
ALFONSO TEJERO E HIJOS, S.L.;;atejero.compras@gcmc.es;000810416;BARCELONA, 203, 02037;MIAMI PLAYA, ESPAÑA
ALFREDO GONZALEZ GONZALEZ;;;000171385;DE LA ESTACIÓN S/N, 01211;SAN RAFAEL, ESPAÑA
ALFREDO MARTIN ROMERO;;;000380240;RAMON Y CAJAL, 01803;SONSECA, ESPAÑA
ALGIRÓS CONSTRUCCIONES Y REHABILITACIONES;;;000000000;GENERAL SAN MARTIN 17, 1-D, 02797;VALENCIA, ESPAÑA
ALHAMILLA 2001, S.L.;;;000000000;OBRADOR, 8, 02966;GRANADA, ESPAÑA
ALIAZUL, S.L.;;;96-5893212;CTRA. ALICANTE-VALENCIA, KM. 142, 00058;VILLAJOYOSA, ESPAÑA
ALICATADOS Y MAT. DEL CENTRO, S.L.;;;926-232082;CTRA. DE CARRION, KM. 3  APTDO. 558, 00309;CIUDAD REAL, ESPAÑA
ALIKAR LOGISTICS SP. ZO.O;;alex.tsche@googlemail.com;000000000;WARSZAWSKA 6, LOK. 32, 03027;BIALYSTOK, POLONIA
ALISTE & ALONSO, S.L.;;;000000000;CALERUEGA, 61, LOCAL 2, 02982;MADRID, ESPAÑA
ALL ABOUT BRICKS LTD.;;info@aab.build;452300941;10 MAISIES WAY, 02736;SOUTH NORMANTON, REINO UNIDO
ALM. ANTERO AYBAR, S.A.;;anteroaybar@hotmail.com;949213603;ALVARGOMEZ DE C. REAL, 27, 00417;GUADALAJARA, ESPAÑA
ALM. BERNARDEZ, S.L.;;almacenesbernardezsl@hotmail.com;008550470;MATADERO, 4, 00789;LOS MOLINOS, ESPAÑA
ALM. CANO BARRAX, S.L.;;almacenescanobarrax@gmail.com;000364650;CTRA. ALBACETE, 21, 00021;BARRAX, ESPAÑA
ALM. CANO, C.B.;;;000364650;CTRA. ALBACETE, 21, 00008;BARRAX, ESPAÑA
ALM. CARRASCOSA, C.B.;;;000000000;CONSTITUCION, 91, 00145;SANTA AMALIA, ESPAÑA
ALM. CASARES, S.L.;;;927-275586;POL. INDUSTRIAL LAS ARENAS, 00204;MALPARTIDA DE CACERES, ESPAÑA
ALM. DE MAT. HERNANDEZ, S.L.;;;000454641;LOS HORNOS, 11, 01864;MONTIJO, ESPAÑA
ALM. DELFIN GUTIERREZ, S.L.;;;983540094;AVDA. DE MADRID, 11, 01479;LAGUNA DE DUERO, ESPAÑA
ALM. INDUSTRIALES ROCAR, S.A.L.;;;000204310;HERNAN CORTES, 3, 01541;LA VILLA DE DON FADRIQUE, ESPAÑA
ALM. J. LOPEZ SANTOS, S.L.;;;949351017;LA RAMBLA, 1, 00424;SACEDON, ESPAÑA
ALM. JUAN LUIS GARCIA, S.L.;;;923580399;CTRA. DE FUENTERROBLE, KM. 37,770, 01200;GUIJUELO, ESPAÑA
ALM. LA ANTIGUA, S.L.;;almacenes-antigua@hotmail.com;949334903;CAMINO DE TALAMANCA, 14, 00418;EL CASAR, ESPAÑA
ALM. LA CUMBRE MAT. Y SERVICIOS, S.L.;;;000331178;AMANECER, 3, 01586;LA CUMBRE, ESPAÑA
ALM. LA CUMBRE, S.L.;;;927-331178;LAS FLORES, S/Nº, 00209;LA CUMBRE, ESPAÑA
ALM. LA PIEDAD, S.L.;;;927-322261;RONDA DE LA PIEDAD, 21, 00212;TRUJILLO, ESPAÑA
ALM. LAS VAGUADAS M.C., S.L.;;info@lasvaguadasmaterialesdeconstruccion.c;000267317;DE VALVERDE KM. 2,600, 01729;BADAJOZ, ESPAÑA
ALM. LOGISTICA Y TRANSPORTE, S.L.;;;925512704;AUTOVIA MADRID-TOLEDO, KM. 32, 01264;ILLESCAS, ESPAÑA
ALM. LUQUE, C.B.;;;924633454;MARCIAL GONZALEZ, 13, 00167;ESPARRAGOSA DE LARES, ESPAÑA
ALM. MAT. CONSTRUCCION CANILLEJAS, S.L.;;;913207671;SAN NARCISO, 38, 00630;MADRID, ESPAÑA
ALM. MAT. Y CONS. CAGUIN, S.A.;;;000000000;LAVADERO, 14, 00724;BUITRAGO, ESPAÑA
ALM. PEDRO FERNANDEZ, S.L.;;pfernandezabigmat.es;924554333;GLORIETA COMARCAL, 1, 00111;ZAFRA, ESPAÑA
ALM. PINALBA, S.L.;;;000000000;CTRA. DE LOS MOLINOS, KM. 1, 00620;GUADARRAMA, ESPAÑA
ALM. POVEDA, S.L.;;;918140513;CAÑADA TOLEDANA,, 00642;GRIÑO, ESPAÑA
ALM. RICO, S.L.;;;924875160;PARQUE INFANTIL, 7, 00141;LLERA, ESPAÑA
ALM. RODRI, S.L.U.;;;000000000;AVDA. SAN GINES, 12, 00155;GUAREÑ, ESPAÑA
ALM. ROLDAN, S.A.;;;000224012;SAN JOSE DE CALASANZ, 8 Y 10, 00010;ALBACETE, ESPAÑA
ALM. SAN DIEGO, S.A.L.;;;000530197;CTRA. VILLALVA, S/N, 00140;FUENTE DEL MAESTRE, ESPAÑA
ALM. SAN FRANCISCO, S.C.P.;;;957-140397;VELAZQUEZ, 7, 00365;HINOJOSA DEL DUQUE, ESPAÑA
ALM. SANCHEZ BAEZA, S.L.;;;000411015;AVDA. DE ESPAÑA, 2, 00011;ELCHE DE LA SIERRA, ESPAÑA
ALM. SEGO, S.L.;;;000247934;CTRA. DE OLIVENZA, KM. 2,400, 00117;BADAJOZ, ESPAÑA
ALM. VALDETORRES, S.L.;;;918415060;ARROYO DE LA POZA, 9, 00816;VALDETORRES DEL JARAMA, ESPAÑA
ALM. VILLA, S.L.;;;968763401;DEL CEMENTERIO, S/N, 01153;CIEZA, ESPAÑA
ALMABLAN, S.L.;;alb_marin@hotmail.com;007753036;CTRA. VICALVARO A COSLADA KM. 5,4, 00931;MADRID, ESPAÑA
ALMACEN DE CONST. CHINCHILLA, S.L.;;;000000000;TRAVESIA INTERIOR S/N, 00050;CHINCHILLA, ESPAÑA
ALMACEN DE CONSTRUCCION CHICO, S.L.;;;987-370106;LAS TEJERAS, S/Nº, 00455;BENAVIDES DE ORBIGO, ESPAÑA
ALMACEN DE MATERIALES DIAZ FLORES, S.L.;;diazflores@terra.es;000573158;SANTO SEPULCRO, 00344;HERENCIA, ESPAÑA
ALMACEN F. MARTIN, S.L.;;info@almacenesfmartin.com;91-6661477;LA MADERA, 34 - 36 (POLG. IND. SANTA ANA), 00743;RIVAS VACIAMADRID, ESPAÑA
ALMACEN JUANMA, S.L.;;;000363098;ALBACETE, 01442;MOCEJON, ESPAÑA
ALMACEN MANTILLA VILLARTA, S.L.;;;000000000;SESEÑA, 32, 02015;BOROX, ESPAÑA
ALMACEN MARTIN GAMELLA, C.B.;;;008990240;SAN JUAN, S/N, 02929;VALDEMORILLO, ESPAÑA
ALMACEN VALDETORRES DEL JARAMA, S.L.;;;008414098;SANTA ANA, 3, 01542;VALDETORRES DEL JARAMA, ESPAÑA
ALMACENES A. CARRETERO, S.C.;;;000000000;HERNANDO DE SOTO, 4, 01866;BURGUILLOS DEL CERRO, ESPAÑA
ALMACENES ACERO, S.A.;;almacenesacero@gmail.com;000322442;EXTREMADURA, 00272;TRUJILLO, ESPAÑA
ALMACENES ALFER, S.L.;;;000000000;LA ESTACION, 8, 03066;SAN MARTIN DE TABARA, ESPAÑA
ALMACENES AMG, C.B.;;;000000000;DONANTES DE SANGRE, 6, 02817;LAGUNA DE NEGRILLOS, ESPAÑA
ALMACENES ARMUÑA, S.A;;;000288394;CTRA. FUENTESAUCO KM. 3, 01194;VILLARES DE LA REINA, ESPAÑA
ALMACENES BADAJOZ, S.A.;;;000272155;CTRA. DE CAMPOAMOR, 1, 00188;BADAJOZ, ESPAÑA
ALMACENES BADAS, S.L.;;;000000000;VILLALPANDO KM. 1, 02209;MEDINA DE RIOSECO, ESPAÑA
ALMACENES CAMARA, S.A.;;;000296400;NIQUEL, 01483;VALLADOLID, ESPAÑA
ALMACENES CENTENO, S.A.;;;000802232;DE LA CONSTITUCION, 00450;TROBAJO DEL CAMINO, ESPAÑA
ALMACENES CIUDAD REAL, S.L.;;;000274650;TOLEDO KM 184,2, 00330;CIUDAD REAL, ESPAÑA
ALMACENES CREACONS, S.L.;;;000000000;VIA SALARIA, 46, 02843;MONTEQUINTO, ESPAÑA
ALMACENES EMILIO MUÑOZ, S.L.;;emiliomunoz@bigmat.es;006957621;LEGANES, 01064;GETAFE, ESPAÑA
ALMACENES EUROPA, S.A.;;carlos.aleuropa@bigmat.es;918430235;BLANCAR, 1, 00636;TORRELAGUNA, ESPAÑA
ALMACENES GARU, S.L.;;;000420051;CAMINO DE MAZUZA, 10, 00051;SOCOVOS, ESPAÑA
ALMACENES GAYO, S.L.;;;913523241;CIRILO PALOMO, 13, 00937;POZUELO DE ALARCON, ESPAÑA
ALMACENES GEYJO, S.L.;;;005685572;RIBERA, 21. POL. RIAÑO 1, 02290;LANGREO, ESPAÑA
ALMACENES JESUS GALLEGO, S.A.;;;987-546305;AVDA. DE ARGANZA, 61-A, 00454;CACABELOS, ESPAÑA
ALMACENES JESUS HERRANZ, S.L.;;chus2411@hotmail.com;008984873;UMBRIA, 3, 01885;VALDEMAQUEDA, ESPAÑA
ALMACENES JIMFER, S.L.;;;000314330;TIÑOSILLOS, 00102;PEDRO RODRIGUEZ, ESPAÑA
ALMACENES LA PLATA, S.A.;;;000220797;CARRETERA DE MEDELLIN KM. 2, 00280;CACERES, ESPAÑA
ALMACENES LAGUNA, S.L.;;matlaguna@gmail.com;000215636;JULIA MORROS, S/N, 00465;LEON, ESPAÑA
ALMACENES MAT. CONST. SERRANO, S.L.;;;848-27-37;POL. IND. BUSTARVIEJO, 01053;BUSTARVIEJO, ESPAÑA
ALMACENES PARAMO, S.L.;;;000641050;PORTUGAL, 15, 01522;LA BAÑEZA, ESPAÑA
ALMACENES POLITO, S.L.;;;000490769;AVD. QUINTA SAN JUAN, 15, 00182;OLIVENZA, ESPAÑA
ALMACENES PRADA, S.L.U.;;alfonso@almacenesprada.com;004835800;IND. EL LIMERO, 27-28, 02227;ECIJA, ESPAÑA
ALMACENES REVILLA, S.L.;;;923401652;INDUSTRIAS, S/N***APDO. 186, 01199;BEJAR, ESPAÑA
ALMACENES REYES, C.B.;;;924-847579;AVDA. HISPANIDAD, 83, 00156;VILLANUEVA DE LA SERENA, ESPAÑA
ALMACENES RIO DE ORO, S.L.;;matemoris@hotmail.com;005899080;GRAL. VILLAVICIOSA S/N. VENTA LAS RANAS, 02291;VILLAVICIOSA, ESPAÑA
ALMACENES RUFER, S.L.;;;927-322579;AVDA. EXTREMADURA, 40, 00260;TRUJILLO, ESPAÑA
ALMACENES SAN GREGORIO, S.L.;;joseantonio@sangregorio.eu;000520040;IND. LA HINIESTA, PARC. 15, 02885;ZAMORA, ESPAÑA
ALMACENES SINFO, S.L.;;sinfoceramicas@yahoo.es;000780157;ZALAMEA-QUINTANA, KM. 1,5, 01841;ZALAMEA DE LA SERENA, ESPAÑA
ALMACO BAZTAN, S.A.  (NULO);;;000000000;GENERAL BARRIO ECHARRI, 02338;ELIZONDO, ESPAÑA
ALMACO BAZTAN, S.L.;;;000580104;GENERAL BARRIO ECHARRI, 02721;ELIZONDO, ESPAÑA
ALMINAR EDIF. Y OBRAS PUBLICAS, S.L.;;;000284288;ALCALA, 492 - 2ª PLANTA, 00996;MADRID, ESPAÑA
ALMORA, OBRAS, SERVICIOS Y MANTENIMIENTOS, S.L.;;almoraosm@gmail.com;000000000;ANCHA, 02192;MORA, ESPAÑA
ALONSO SAVINO, S.L.;;;000000000;AVDA. DE LA CONSTITUCION, S/N, 01959;ZORITA, ESPAÑA
ALONSO SOTOMAYOR ARQ. E ING., S.L.;;;925-512448;LAGASCA, 52  6º DUPLICAD, 00611;MADRID, ESPAÑA
ALQUILERES SOTOMUELA, S.L.;;;000000000;HUERTAS, 01378;BOROX, ESPAÑA
ALSERCONS 2000, S.L.;;;003513717;AVDA. PADRE PIQUER, 37 LOCAL, 02527;MADRID, ESPAÑA
ALSI, S.L.;;;000000000;URB. LA SUIZA, PLA. 2201, 00787;ROBLEDO DE CHAVELA, ESPAÑA
ALTCON 2025, S.L.;;;006791130;BERNA Nº2, 02559;MEJORADA DEL CAMPO, ESPAÑA
ALTER HAUS, S.L.;;;91-4579035;COCHABAMBA, 24, 00571;MADRID, ESPAÑA
ALVA OBRAS Y CONTRATAS, S.L.;;;000000000;ANDERNOS LES BAINS, 3 PTA. BAJA, 02827;SEGORBE, ESPAÑA
ALVARO ALBALAT, S.L.;;;000400200;ZARAGOZA, S/N, 01749;VINAROZ, ESPAÑA
ALVARO ESCUDERO MORATALLA;;;000387045;APARICIOS, 00408;SISANTE, ESPAÑA
ALVARO MARTINEZ CARPI;;alvaromcarpi@yahoo.es;000000000;PENSAMIENTO, 27, 02808;MADRID, ESPAÑA
ALVASER DE HUETOR TAJAR, S.L.U.;;alvaserht@hotmail.com;000332597;AVDA. ESPAÑA S/N**POL. IND. LA CATALANA, 02166;HUERTOR TAJAR, ESPAÑA
ALZA OBRAS Y SERVICIOS, S.L.;;epa@alzaobrasyservicios.com;436 09 34;PUNTO ES, 4 - 2ª PLANTA (P.T. Tecnoalcalá), 02181;ALCALA DE HENARES, ESPAÑA
AMADEO MOLERO PLIEGO;;;000340007;LA PALMA, 33, 01573;CASTELLAR DE SANTIAGO, ESPAÑA
AMALF CONSTRUCTION;;;000000000;MARULI, PALLATI JORA SHPK, HYRJA 1, KATI, 03002;TIRANA, ALBANIA
AMALIA GARCIA SANTOS;;;918111506;HILANDEROS, 10, 00525;NAVALCARNERO, ESPAÑA
AMALIO MAT. DE CONSTRUCCION, S.L.;;;000236722;CTRA. DE OLIVENZA KM. 2,500, 00125;BADAJOZ, ESPAÑA
AMARGANT SANT POL, S.L.;;tlopez@amargant.com;007600112;INDUSTRIAL, PARCELA 1, 00199;SANT POL DE MAR, ESPAÑA
AMAYA NARANJO, S.L.;;;000453303;PROGRESO, 01892;PUEBLA DE LA CALZADA, ESPAÑA
AMAZON EU  S.A.R.L. SUCURSAL EN ESPAÑA;;;000000000;RAMIREZ DE PRADO, 5, 02779;MADRID, ESPAÑA
AMBROSIO GIL SANCHEZ;;;000000000;AVDA. DE LA PAZ, 4, 00275;PLASENZUELA, ESPAÑA
AMC CAUDETE, S.L.;;;965826580;CTRA. DE VILLENA, S/Nº, 00016;CAUDETE, ESPAÑA
AMENABAR OBRAS Y PROYECTOS, S.L.;;recepcionfacturas@consamenabar.es;000000000;MARIA DE MAEZTU, 112, 02848;MADRID, ESPAÑA
AN DE JUAN, S.L.;;;008585627;FUENTE DEL GITANO, 01055;GALAPAGAR, ESPAÑA
ANA BELEN GOMEZ TENORIO;;anabelengt1982@gmail.com;000000000;TALAVERA, 124, 02986;ALBERCHE DEL CAUDILLO, ESPAÑA
ANA FERNANDEZ QUIROGA;;;006620374;MARQUES DE VALDAVIA, 01059;ALCOBENDAS, ESPAÑA
ANA ISABEL ARRIBAS PASCUAL;;;000000000;ALCOCER, 45 F, 3º C, 01700;MADRID, ESPAÑA
ANASTASIO CASAS, S.A.;;;925178441;VINO, 01266;LA  PUEBLA DE ALMORADIEL, ESPAÑA
ANDOBRAS, S.A.;;;006326480;VIRGEN DE LUJAN, 3, 01651;SEVILLA, ESPAÑA
ANDRES BUSTILLO GARRIDO;;susiaven@gmail.com;91-6380799;TRAVESIA DEL CRISTO, 8, 00580;MAJADAHONDA, ESPAÑA
ANDRES CABRERA TORRES;;;917924907;ESTEFANITA, 4-BAJO F, 00529;MADRID, ESPAÑA
ANDRES GRIFFIN MALTESE;;pekegriffin@hotmail.com;000000000;AVDA. ARCO IRIS, 2   PTA. 89, 02696;RIVAS-VACIAMADRID, ESPAÑA
ANDRES PERAMATO GARCIA;;;000000000;LA ESTACION, S/N, 01203;LA FUENTE DE SAN ESTEBAN, ESPAÑA
ANDRES RODRIGUEZ DE EUSEBIO;;teammonkay@hotmail.com;000000000;AZUCENA, 11, 01975;MADRID, ESPAÑA
ANDRES RODRIGUEZ MORERA;;;924-496527;JUAN CARLOS I, 24-B, 00146;VALVERDE DE LEGANES, ESPAÑA
ANGEL ACEDO AMADO;;;927-395420;FRANCISCO PIZARRO, 22, 00210;BROZAS, ESPAÑA
ANGEL AGUADO GAROZ;;;000000000;RONDA QUIÑONES,2, 01404;CEDILLO DEL CONDADO, ESPAÑA
